Time,Open,High,Low,Close,Volume
2023.12.13 13:00,36615.2,36615.69,36612.74,36614.71,28
2023.12.13 12:59,36619.13,36619.62,36613.72,36614.71,39
2023.12.13 12:58,36619.62,36620.61,36619.13,36619.62,30
2023.12.13 12:57,36626.01,36626.51,36619.62,36620.11,27
2023.12.13 12:56,36624.53,36627.98,36624.53,36626.51,21
2023.12.13 12:55,36624.04,36626.5,36622.07,36625.02,33
2023.12.13 12:54,36624.03,36625.51,36623.54,36623.54,36
2023.12.13 12:53,36623.04,36625.51,36623.04,36625.02,42
2023.12.13 12:52,36619.1,36622.55,36618.61,36621.07,30
2023.12.13 12:51,36618.61,36619.59,36617.62,36619.59,42
2023.12.13 12:50,36615.65,36618.61,36614.67,36618.11,28
2023.12.13 12:49,36616.63,36618.6,36615.65,36616.14,30
2023.12.13 12:48,36620.56,36620.56,36616.13,36617.12,26
2023.12.13 12:47,36621.54,36621.54,36617.61,36620.07,39
2023.12.13 12:46,36617.6,36621.05,36617.6,36621.05,27
2023.12.13 12:45,36617.6,36617.6,36615.63,36617.11,26
2023.12.13 12:44,36619.56,36619.56,36616.61,36617.1,27
2023.12.13 12:43,36616.11,36620.54,36616.11,36620.05,33
2023.12.13 12:42,36615.12,36616.11,36614.14,36615.62,22
2023.12.13 12:41,36616.1,36616.59,36613.64,36614.63,19
2023.12.13 12:40,36613.14,36616.59,36613.14,36615.61,21
2023.12.13 12:39,36612.65,36613.64,36612.16,36612.65,28
2023.12.13 12:38,36613.14,36614.62,36612.65,36613.14,19
2023.12.13 12:37,36614.12,36614.61,36612.15,36612.64,18
2023.12.13 12:36,36615.1,36616.57,36612.64,36613.62,24
2023.12.13 12:35,36617.55,36617.55,36614.6,36614.6,24
2023.12.13 12:34,36620.01,36620.01,36617.55,36618.04,22
2023.12.13 12:33,36620.5,36621.48,36619.51,36620.5,28
2023.12.13 12:32,36618.52,36621.97,36618.52,36620.99,22
2023.12.13 12:31,36619.01,36619.01,36617.04,36618.03,15
2023.12.13 12:30,36617.04,36619.5,36614.09,36618.52,29
2023.12.13 12:29,36616.05,36617.04,36615.56,36616.55,16
2023.12.13 12:28,36615.55,36616.54,36614.57,36616.54,28
2023.12.13 12:27,36614.07,36614.57,36612.6,36614.57,25
2023.12.13 12:26,36614.07,36616.04,36614.07,36614.56,26
2023.12.13 12:25,36614.56,36615.05,36611.61,36613.58,35
